 code   |                     name                      | base_size | card_count | release_date | type        | status
 sum    | Summer Magic / Edgar                          |       306 |        306 | 1994-06-21   | core        | [-- Prices, Reprints]
 tbth   | Battle the Horde                              |        15 |         10 | 2014-03-01   | memorabilia | [--]
 tdag   | Defeat a God                                  |        15 |          8 | 2014-05-25   | memorabilia | [--]
 tfth   | Face the Hydra                                |        15 |         10 | 2013-10-19   | memorabilia | [--]
 thp1   | Theros Hero's Path                            |         7 |          7 | 2013-09-27   | memorabilia | [--]
 thp2   | Born of the Gods Hero's Path                  |         7 |          7 | 2014-02-07   | memorabilia | [--]
 thp3   | Journey into Nyx Hero's Path                  |         8 |          7 | 2014-05-02   | memorabilia | [--]
 unk    | Unknown Event                                 |       473 |        467 | 2023-02-15   | funny       | [-- Prices, Missing Info]
 wc00   | World Championship Decks 2000                 |       117 |        107 | 2000-08-02   | memorabilia | [--]
 wc01   | World Championship Decks 2001                 |       138 |        128 | 2001-08-08   | memorabilia | [--]
 wc02   | World Championship Decks 2002                 |       153 |        143 | 2002-12-01   | memorabilia | [--]
 wc03   | World Championship Decks 2003                 |       142 |        132 | 2003-08-06   | memorabilia | [--]
 wc04   | World Championship Decks 2004                 |       103 |         93 | 2004-09-01   | memorabilia | [--]
 wc97   | World Championship Decks 1997                 |       131 |        121 | 1997-08-13   | memorabilia | [--]
 wc98   | World Championship Decks 1998                 |       117 |        107 | 1998-08-12   | memorabilia | [--]
 wc99   | World Championship Decks 1999                 |       111 |        100 | 1999-08-04   | memorabilia | [--]
